plaka=1 ad=Adana enlem=37.0 boylam=35.3213 komşular=31,80,46,38,51,33
plaka=2 ad=Adıyaman enlem=37.7648 boylam=38.2786 komşular=63,21,44,46,27
plaka=3 ad=Afyonkarahisar enlem=38.7507 boylam=30.5567 komşular=32,42,26,43,64,20,15
plaka=4 ad=Ağrı enlem=39.7191 boylam=43.0503 komşular=65,76,36,25,49,13
plaka=5 ad=Amasya enlem=40.6499 boylam=35.8353 komşular=66,60,55,19
plaka=6 ad=Ankara enlem=39.9208 boylam=32.8541 komşular=42,68,40,71,18,14,26
plaka=7 ad=Antalya enlem=36.8841 boylam=30.7056 komşular=33,70,42,32,15,48
plaka=8 ad=Artvin enlem=41.1828 boylam=41.8183 komşular=53,25,75
plaka=9 ad=Aydın enlem=37.856 boylam=27.8416 komşular=48,20,45,35
plaka=10 ad=Balıkesir enlem=39.6484 boylam=27.8826 komşular=35,45,43,16,17
plaka=11 ad=Bilecik enlem=40.0567 boylam=30.0665 komşular=43,26,14,54,16
plaka=12 ad=Bingöl enlem=39.0626 boylam=40.7696 komşular=21,49,25,24,62,23
plaka=13 ad=Bitlis enlem=38.3938 boylam=42.1232 komşular=56,65,4,49,72
plaka=14 ad=Bolu enlem=40.576 boylam=31.5788 komşular=26,6,18,67,81,54,11,78
plaka=15 ad=Burdur enlem=37.4613 boylam=30.0665 komşular=48,7,32,3,20
plaka=16 ad=Bursa enlem=40.1669 boylam=28.8634 komşular=10,43,11,54,41,77
plaka=17 ad=Çanakkale enlem=40.1553 boylam=26.4142 komşular=10,59,22
plaka=18 ad=Çankırı enlem=40.6013 boylam=33.6134 komşular=6,71,19,37,14,78
plaka=19 ad=Çorum enlem=40.5506 boylam=34.9556 komşular=66,5,55,57,37,18,71
plaka=20 ad=Denizli enlem=37.7765 boylam=29.0864 komşular=48,15,3,64,45,9
plaka=21 ad=Diyarbakır enlem=37.9144 boylam=40.2306 komşular=63,47,72,49,12,23,44,2
