plaka=1 ad=Adana enlem=37.0 boylam=35.3213 komsular=31,80,46,38,51,33
plaka=2 ad=Adıyaman enlem=37.7648 boylam=38.2786 komsular=63,21,44,46,27
plaka=3 ad=Afyonkarahisar enlem=38.7507 boylam=30.5567 komsular=32,42,26,43,64,20,15
plaka=4 ad=Ağrı enlem=39.7191 boylam=43.0503 komsular=65,76,36,25,49,13
plaka=5 ad=Amasya enlem=40.6499 boylam=35.8353 komsular=66,60,55,19
plaka=6 ad=Ankara enlem=39.9208 boylam=32.8541 komsular=42,68,40,71,18,14,26
plaka=7 ad=Antalya enlem=36.8841 boylam=30.7056 komsular=33,70,42,32,15,48
plaka=8 ad=Artvin enlem=41.1828 boylam=41.8183 komsular=53,25,75
plaka=9 ad=Aydın enlem=37.856 boylam=27.8416 komsular=48,20,45,35
plaka=10 ad=Balıkesir enlem=39.6484 boylam=27.8826 komsular=35,45,43,16,17
plaka=11 ad=Bilecik enlem=40.0567 boylam=30.0665 komsular=43,26,14,54,16
plaka=12 ad=Bingöl enlem=39.0626 boylam=40.7696 komsular=21,49,25,24,62,23
plaka=13 ad=Bitlis enlem=38.3938 boylam=42.1232 komsular=56,65,4,49,72
plaka=14 ad=Bolu enlem=40.576 boylam=31.5788 komsular=26,6,18,67,81,54,11,78
plaka=15 ad=Burdur enlem=37.4613 boylam=30.0665 komsular=48,7,32,3,20
plaka=16 ad=Bursa enlem=40.1669 boylam=28.8634 komsular=10,43,11,54,41,77
plaka=17 ad=Çanakkale enlem=40.1553 boylam=26.4142 komsular=10,59,22
plaka=18 ad=Çankırı enlem=40.6013 boylam=33.6134 komsular=6,71,19,37,14,78
plaka=19 ad=Çorum enlem=40.5506 boylam=34.9556 komsular=66,5,55,57,37,18,71
plaka=20 ad=Denizli enlem=37.7765 boylam=29.0864 komsular=48,15,3,64,45,9
plaka=21 ad=Diyarbakır enlem=37.9144 boylam=40.2306 komsular=63,47,72,49,12,23,44,2
plaka=22 ad=Edirne enlem=41.6818 boylam=26.5623 komsular=17,59,39
plaka=23 ad=Elâzığ enlem=38.681 boylam=39.2264 komsular=21,12,62,24,44
plaka=24 ad=Erzincan enlem=39.75 boylam=39.5 komsular=23,62,12,25,69,29,28,58,44
plaka=25 ad=Erzurum enlem=39.9 boylam=41.27 komsular=12,49,4,36,75,8,53,69,24
plaka=26 ad=Eskişehir enlem=39.7767 boylam=30.5206 komsular=3,42,6,14,11,43
plaka=27 ad=Gaziantep enlem=37.0662 boylam=37.3833 komsular=79,63,2,46,80,31
plaka=28 ad=Giresun enlem=40.9128 boylam=38.3895 komsular=29,61,24,58,52
plaka=29 ad=Gümüşhane enlem=40.4386 boylam=39.5086 komsular=24,69,61,28
plaka=30 ad=Hakkâri enlem=37.5833 boylam=43.7333 komsular=65,73
plaka=31 ad=Hatay enlem=36.4018 boylam=36.3498 komsular=27,80,1
plaka=32 ad=Isparta enlem=37.7648 boylam=30.5566 komsular=7,42,3,15
plaka=33 ad=Mersin enlem=36.8 boylam=34.6333 komsular=1,51,42,70,7
plaka=34 ad=İstanbul enlem=41.0053 boylam=28.977 komsular=41,59
plaka=35 ad=İzmir enlem=38.4189 boylam=26.8287 komsular=9,45,10
plaka=36 ad=Kars enlem=40.6167 boylam=43.1 komsular=4,76,75,25
plaka=37 ad=Kastamonu enlem=41.3887 boylam=33.7827 komsular=19,57,18,74,78
plaka=38 ad=Kayseri enlem=38.7312 boylam=35.4787 komsular=1,46,58,66,50,51
plaka=39 ad=Kırklareli enlem=41.7333 boylam=27.2167 komsular=22,59
plaka=40 ad=Kırşehir enlem=39.1425 boylam=34.1709 komsular=50,66,71,6,68
plaka=41 ad=Kocaeli enlem=40.8533 boylam=29.8815 komsular=77,34,16,54
plaka=42 ad=Konya enlem=37.8667 boylam=32.4833 komsular=7,70,33,51,68,6,26,3,32
plaka=43 ad=Kütahya enlem=39.4167 boylam=29.9833 komsular=45,64,3,26,11,16,10
plaka=44 ad=Malatya enlem=38.3552 boylam=38.3095 komsular=46,2,21,23,24,58
plaka=45 ad=Manisa enlem=38.6191 boylam=27.4289 komsular=35,9,20,64,43,10
plaka=46 ad=Kahramanmaraş enlem=37.5858 boylam=36.9371 komsular=27,2,44,58,38,1,80
plaka=47 ad=Mardin enlem=37.3212 boylam=40.7245 komsular=63,21,72,56,73
plaka=48 ad=Muğla enlem=37.2153 boylam=28.3636 komsular=7,15,20,9
plaka=49 ad=Muş enlem=38.9462 boylam=41.7539 komsular=21,72,13,4,25,12
plaka=50 ad=Nevşehir enlem=38.6939 boylam=34.6857 komsular=51,38,66,40,68
plaka=51 ad=Niğde enlem=37.9667 boylam=34.6833 komsular=50,38,1,33,42,68
plaka=52 ad=Ordu enlem=40.9839 boylam=37.8764 komsular=55,60,28,58
plaka=53 ad=Rize enlem=41.0201 boylam=40.5234 komsular=8,25,69,61
